play_id,game_id,posteam,home_team,away_team,week,game_date,field_goal_result,extra_point_result,two_point_conv_result,td_team,total_home_score,total_away_score,safety,touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,away_score,home_score
2119,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2148,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2172,2021_01_ARI_TEN,,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2189,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2222,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2244,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2266,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,missed,,,,6,24,0.0,0.0,0.0,0.0,1.0,38,13
2287,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2311,2021_01_ARI_TEN,,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2328,2021_01_ARI_TEN,,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2345,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2367,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2391,2021_01_ARI_TEN,,TEN,ARI,1,2021-09-12,,,,,6,24,,,,,,38,13
2411,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2444,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2465,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2503,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2529,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,6,24,0.0,0.0,0.0,0.0,0.0,38,13
2553,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,TEN,12,24,0.0,1.0,0.0,0.0,0.0,38,13
2578,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,good,,,13,24,0.0,0.0,1.0,0.0,0.0,38,13
2594,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,24,0.0,0.0,0.0,0.0,0.0,38,13
2609,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,24,0.0,0.0,0.0,0.0,0.0,38,13
2633,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,24,0.0,0.0,0.0,0.0,0.0,38,13
2654,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,24,0.0,0.0,0.0,0.0,0.0,38,13
2690,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,24,0.0,0.0,0.0,0.0,0.0,38,13
2716,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,24,0.0,0.0,0.0,0.0,0.0,38,13
2738,2021_01_ARI_TEN,,TEN,ARI,1,2021-09-12,,,,,13,24,0.0,0.0,0.0,0.0,0.0,38,13
2766,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,ARI,13,30,0.0,1.0,0.0,0.0,0.0,38,13
2802,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,good,,,13,31,0.0,0.0,1.0,0.0,0.0,38,13
2818,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
2833,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
2856,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
2880,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
2901,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
2927,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
2949,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
2982,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3001,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3020,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3041,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3062,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3083,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3106,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3127,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3148,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3177,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3203,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3224,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,,13,31,0.0,0.0,0.0,0.0,0.0,38,13
3245,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,ARI,13,37,0.0,1.0,0.0,0.0,0.0,38,13
